INSERT INTO reserva (ID_RESERVA, ID_USUARIO, ID_EQUIPO, FECHA_INI, FECHA_FIN, ESTADO) VALUES
(331, 293567, 11, '2023-08-04 16:00:00', '2023-08-04 17:00:00', 1),
(332, 295034, 24, '2023-12-26 10:00:00', '2023-12-26 11:00:00', 1),
(333, 296567, 921, '2023-10-30 15:00:00', '2023-10-30 16:00:00', 1),
(334, 298034, 22, '2023-08-02 10:00:00', '2023-08-02 11:00:00', 1),
(335, 299567, 5, '2023-11-20 15:00:00', '2023-11-20 16:00:00', 1),
(336, 300001, 18, '2023-09-14 16:00:00', '2023-09-14 17:00:00', 1),
(337, 210112, 17, '2023-06-28 09:00:00', '2023-06-28 10:00:00', 1),
(338, 211567, 16, '2023-12-19 09:00:00', '2023-12-19 10:00:00', 1),
(339, 213004, 29, '2023-10-25 15:00:00', '2023-10-25 16:00:00', 1),
(340, 214675, 12, '2023-08-15 16:00:00', '2023-08-15 17:00:00', 1),
(341, 216123, 225, '2023-11-10 10:00:00', '2023-11-10 11:00:00', 1),
(342, 217598, 8, '2023-07-26 09:00:00', '2023-07-26 10:00:00', 1),
(343, 219045, 23, '2023-10-31 16:00:00', '2023-10-31 17:00:00', 1),
(344, 220234, 6, '2023-09-19 16:00:00', '2023-09-19 17:00:00', 1),
(345, 221789, 19, '2023-11-16 10:00:00', '2023-11-16 11:00:00', 1),
(346, 223134, 2, '2023-09-15 09:00:00', '2023-09-15 10:00:00', 1),
(347, 224678, 17, '2023-08-01 12:00:00', '2023-08-01 13:00:00', 1),
(348, 226023, 380, '2023-11-30 16:00:00', '2023-11-30 17:00:00', 1),
(349, 227567, 13, '2023-10-23 16:00:00', '2023-10-23 17:00:00', 1),
(350, 229034, 26, '2023-07-10 09:00:00', '2023-07-10 10:00:00', 1),
(351, 230567, 9, '2023-12-08 15:00:00', '2023-12-08 16:00:00', 1),
(352, 232034, 24, '2023-10-02 09:00:00', '2023-10-02 10:00:00', 1),
(353, 233567, 7, '2023-08-07 16:00:00', '2023-08-07 17:00:00', 1),
(354, 235034, 22, '2023-11-07 16:00:00', '2023-11-07 17:00:00', 1),
(355, 236567, 5, '2023-09-11 14:00:00', '2023-09-11 15:00:00', 1),
(356, 238034, 18, '2023-12-14 16:00:00', '2023-12-14 17:00:00', 1),
(357, 239567, 3, '2023-10-20 15:00:00', '2023-10-20 16:00:00', 1),
(358, 241034, 168, '2023-08-10 16:00:00', '2023-08-10 17:00:00', 1),
(359, 242567, 1, '2023-06-27 09:00:00', '2023-06-27 10:00:00', 1),
(360, 244034, 14, '2023-11-22 16:00:00', '2023-11-22 17:00:00', 1),
(361, 245567, 29, '2023-09-18 09:00:00', '2023-09-18 10:00:00', 1),
(362, 247034, 10, '2023-12-07 16:00:00', '2023-12-07 17:00:00', 1),
(363, 248567, 25, '2023-07-05 14:00:00', '2023-07-05 15:00:00', 1),
(364, 250034, 8, '2023-10-19 16:00:00', '2023-10-19 17:00:00', 1),
(365, 251567, 21, '2023-08-23 16:00:00', '2023-08-23 17:00:00', 1),
(366, 253034, 6, '2023-07-12 16:00:00', '2023-07-12 17:00:00', 1),
(367, 254567, 19, '2023-10-25 10:00:00', '2023-10-25 11:00:00', 1),
(368, 256034, 4, '2023-12-06 16:00:00', '2023-12-06 17:00:00', 1),
(369, 257567, 17, '2023-09-13 09:00:00', '2023-09-13 10:00:00', 1),
(370, 259034, 2, '2023-07-25 15:00:00', '2023-07-25 16:00:00', 1),
(371, 260567, 15, '2023-10-16 09:00:00', '2023-10-16 10:00:00', 1),
(372, 262034, 30, '2023-08-21 09:00:00', '2023-08-21 10:00:00', 1),
(373, 263567, 13, '2023-12-22 16:00:00', '2023-12-22 17:00:00', 1),
(374, 265034, 28, '2023-09-26 16:00:00', '2023-09-26 17:00:00', 1),
(375, 266567, 11, '2023-07-13 14:00:00', '2023-07-13 15:00:00', 1),
(376, 268034, 26, '2023-10-31 09:00:00', '2023-10-31 10:00:00', 1),
(377, 269567, 9, '2023-12-04 16:00:00', '2023-12-04 17:00:00', 1),
(378, 271034, 24, '2023-08-29 10:00:00', '2023-08-29 11:00:00', 1),
(379, 272567, 7, '2023-07-19 16:00:00', '2023-07-19 17:00:00', 1),
(380, 274034, 22, '2023-11-21 10:00:00', '2023-11-21 11:00:00', 1),
(381, 275567, 5, '2023-10-04 16:00:00', '2023-10-04 17:00:00', 1),
(382, 277034, 20, '2023-12-12 14:00:00', '2023-12-12 15:00:00', 1),
(383, 278567, 3, '2023-09-20 16:00:00', '2023-09-20 17:00:00', 1),
(384, 280034, 18, '2023-07-17 16:00:00', '2023-07-17 17:00:00', 1),
(385, 281567, 1, '2023-10-17 09:00:00', '2023-10-17 10:00:00', 1),
(386, 283034, 16, '2023-12-05 16:00:00', '2023-12-05 17:00:00', 1),
(387, 284567, 29, '2023-09-05 14:00:00', '2023-09-05 15:00:00', 1),
(388, 286034, 12, '2023-07-25 10:00:00', '2023-07-25 11:00:00', 1),
(389, 287567, 27, '2023-11-22 09:00:00', '2023-11-22 10:00:00', 1),
(390, 289034, 10, '2023-10-17 14:00:00', '2023-10-17 15:00:00', 1),
(391, 290567, 25, '2023-08-10 10:00:00', '2023-08-10 11:00:00', 1),
(392, 292034, 8, '2023-07-07 16:00:00', '2023-07-07 17:00:00', 1),
(393, 293567, 23, '2023-10-09 09:00:00', '2023-10-09 10:00:00', 1),
(394, 295034, 6, '2023-12-28 16:00:00', '2023-12-28 17:00:00', 1),
(395, 296567, 21, '2023-09-13 14:00:00', '2023-09-13 15:00:00', 1),
(396, 298034, 4, '2023-07-18 16:00:00', '2023-07-18 17:00:00', 1),
(397, 299567, 19, '2023-10-27 16:00:00', '2023-10-27 17:00:00', 1),
(398, 300001, 2, '2023-08-21 15:00:00', '2023-08-21 16:00:00', 1),
(399, 210112, 170, '2023-06-28 09:00:00', '2023-06-28 10:00:00', 1),
(400, 211567, 1005, '2023-12-07 09:00:00', '2023-12-07 10:00:00', 1);






